1홀,2홀,3홀,4홀,5홀,6홀,7홀,8홀,9홀,10홀,11홀,12홀,13홀,14홀,15홀,16홀,17홀,18홀,total1,total2,sum
0,0,:,:,0.0,1.0,0,1,1,1,0,:,1 9,1,2,1,1,1,41.0,42.0,83
1,C,0.00,6,2.0,2.0,1,1,0,1,C,0.00,:,1,1,0,-1,1,44.0,39.0,83
0,3,:,:,2.0,1.0,2,1,1,0.00,CASHIER:,1 :,1,1,2,0,2,1,49.0,43.0,92
:,1,0.00,1,0.0,0.0,1,:,:,1,TOTAL :,1,1,1,1,1,:,1,,,
3,1,1,1,3.0,4.0,4,5,4,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,36.0,,
