1홀,2홀,3홀,4홀,5홀,6홀,7홀,8홀,9홀,10홀,11홀,12홀,13홀,14홀,15홀,16홀,17홀,18홀,total1,total2,sum
0.0,0,2,2.0,0.0,0,1,1,1,0,1,C,:,0,1,0,0,2,40.0,41.0,81
2.0,C,:,1.0,1.0,1,1,0,0,0,C,0.00,6,0,2,2,0,0,42.0,40.0,82
1.0,C,0,6.0,0.0,0,1,0,1,0,1,0.00,5,6,0,2,1,0,39.0,41.0,80
0.0,1,0.00,0.0,0.0,:,:,:,:,1,1,1,1,1,1,1,1,1,,,
3.0,4,1,1.0,3.0,4,4,4,5,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,36.0,,
