1홀,2홀,3홀,4홀,5홀,6홀,7홀,8홀,9홀,10홀,11홀,12홀,13홀,14홀,15홀,16홀,17홀,18홀,total1,total2,sum
1.0,0,:,:,2,2.0,1,3,1,1,0,:,:,1,3,0,1,O,50.0,44.0,94
3.0,0,:,1,0,0.0,2,2,1,1,S,:,:,0,2,1,0,0,46.0,43.0,89
4.0,0.00,0.00,:,1,1.0,3,0,1,0.00,:,:,:,6,1,0,0,0,48.0,44.0,92
0.0,1,0.00,0.00,1,0.0,1,:,1,1,1,1,1,1,1,1,1,1,,,
4.0,:,:,3,4,5.0,3,4,4,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,36.0,,
