1홀,2홀,3홀,4홀,5홀,6홀,7홀,8홀,9홀,10홀,11홀,12홀,13홀,14홀,15홀,16홀,17홀,18홀,total1,total2,sum
0.0,0,:,:,0.0,1.0,0.0,1.0,1.0,1,0,:,:,1,1,0,*,1,41.0,39.0,80
1.0,C,0.00,6,2.0,2.0,1.0,1.0,0.0,1,1,TOTAL :,TOTAL :,1,1,1,1,1,44.0,,
0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,,,
3.0,4,1,4,3.0,4.0,4.0,5.0,4.0,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,36.0,,
3.0,:,:,:,3.0,2.0,1.0,2.0,1.0,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,58.0,,
