1홀,2홀,3홀,4홀,5홀,6홀,7홀,8홀,9홀,10홀,11홀,12홀,13홀,14홀,15홀,16홀,17홀,18홀,total1,total2,sum
0.0,0,2,2.0,1,1,1,1,0,1,2,:,:,0,1,0,1,2,43.0,44.0,87
1.0,C,:,1.0,6,0,1,1,1,1,1,0,:,1,2,1,0,1,42.0,43.0,85
1.0,3,3,3.0,1,0,2,1,1,2,2,:,1,6,2,1,2,2,48.0,50.0,98
0.0,:,0.00,0.0,:,:,1,:,:,1,1,1,1,1,1,1,1,1,,,
4.0,5,2,1.0,3,4,3,5,4,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,$500 CASH GIVEAWAY ON BACK,36.0,,
